time,latitude,longitude,magnitude
2016-08-02 11:31:04.390,40.1411667,-120.2295,3.74
2016-08-04 04:55:35.040,40.1538333,-120.2131667,4.48
2016-08-04 04:58:32.600,40.1506667,-120.2153333,3.99
2016-08-10 02:57:17.510,39.3293333,-122.8018333,5.09
2016-08-10 13:12:28.600,39.9603333,-122.7846667,3.84
2016-08-15 16:17:21.510,36.7015,-121.338,3.62
2016-08-18 03:39:54.830,36.3993333,-117.8653333,3.53
2016-08-21 21:47:48.290,37.6231667,-118.8928333,3.53
2016-08-28 21:20:52.090,40.4365,-123.4078333,4.49
2016-09-13 07:50:22.080,37.8046667,-122.1975,3.54
2016-09-26 14:31:08.040,33.2976667,-115.7136667,4.32
2016-09-27 03:23:58.150,33.2998333,-115.7123333,4.33
2016-09-27 03:36:15.240,33.3058333,-115.701,4.13
2016-09-28 01:05:51.190,33.2986667,-115.7118333,3.64
2016-10-01 07:53:29.350,36.2435,-120.36,3.52
2016-10-08 22:43:49.150,34.0075,-117.2521667,3.74
2016-10-18 22:09:07.690,36.713,-121.3113333,3.55
2016-10-27 06:37:23.630,40.3461667,-124.5465,4.11
2016-11-03 12:57:33.560,39.6621667,-123.6311667,3.82
2016-11-06 13:00:46.390,39.6598333,-123.6373333,4.06
2016-11-09 00:55:46.860,36.4631667,-121.007,3.6
2016-12-04 07:40:16.934,39.0501,-118.8113,3.9
2016-12-05 18:33:15.480,40.2785,-124.386,4.35
2016-12-14 07:44:24.970,37.6381667,-118.9251667,3.99
2016-12-14 11:58:39.840,35.5606667,-120.805,3.95
2016-12-14 16:41:05.530,38.8221667,-122.8413333,5.01
2016-12-16 01:25:52.900,32.83,-116.1285,3.5
2016-12-28 08:18:00.613,38.3755,-118.8989,5.6
2016-12-28 08:22:12.208,38.3904,-118.8972,5.6
2016-12-28 08:26:06.864,38.3897,-118.8929,3.8
2016-12-28 08:29:39.648,38.3716,-118.9409,3.7
2016-12-28 08:48:58.820,38.3905,-118.8923,3.5
2016-12-28 08:57:20.062,38.3619,-118.9092,3.8
2016-12-28 09:13:47.243,38.3777,-118.8957,5.5
2016-12-28 12:18:13.136,38.4091,-118.9101,3.9
2016-12-28 12:31:54.922,38.4087,-118.9123,3.5
2016-12-28 14:40:12.205,38.2987,-118.8221,3.5
2016-12-28 16:28:21.906,38.3438,-118.8833,3.7
2016-12-28 17:56:59.830,34.1513333,-116.7071667,3.92
2016-12-28 22:00:00.599,38.3993,-118.9119,3.7
2016-12-31 22:41:26.530,32.9745,-115.5483333,3.74
2016-12-31 23:06:56.130,32.975,-115.5458333,3.88
2016-12-31 23:25:27.120,32.9748333,-115.5388333,3.63
2017-01-02 02:11:09.960,38.7012,-118.4766,3.8
2017-01-02 13:05:08.707,38.3889,-118.9285,3.6
2017-01-13 03:17:52.895,38.4251,-118.897,3.6
2017-01-18 08:04:32.288,38.4063,-118.9266,3.7
2017-01-23 03:15:19.780,36.5886667,-121.1448333,3.5
2017-01-23 04:22:52.290,33.0018333,-118.8998333,3.57
2017-01-27 19:08:29.710,38.7935,-122.7561667,3.89
2017-02-03 16:13:42.340,40.2385,-123.6468333,3.68
2017-02-21 00:57:52.710,38.7958333,-122.7353333,4.16
2017-02-26 14:58:40.100,36.959,-121.5756667,3.6
2017-03-01 20:18:39.150,33.1341667,-115.8621667,3.61
2017-03-02 20:23:45.020,40.2905,-124.3951667,3.85
2017-03-06 19:19:20.810,40.3523333,-124.7748333,4.04
2017-03-08 17:20:23.530,36.6355,-121.2558333,3.72
2017-03-13 14:39:04.160,35.8795,-120.0611667,3.52
2017-03-14 05:06:54.460,34.0388333,-117.2386667,3.61
2017-03-14 17:14:05.580,33.239,-116.0535,3.61
2017-03-22 18:57:32.990,32.225,-115.2278333,3.99
2017-03-22 18:59:06.170,32.224,-115.2238333,3.81
2017-03-26 08:25:44.690,33.2191667,-116.0825,3.54
2017-03-27 01:45:55.320,36.1658333,-118.723,3.56
2017-03-31 10:55:53.700,36.8776667,-121.6141667,4.0
2017-04-08 04:40:13.992,41.8708,-119.635,3.5
2017-04-13 22:21:02.320,36.4725,-120.9975,3.52
2017-04-17 20:31:45.180,38.774,-122.7223333,3.73
2017-04-29 17:07:00.020,32.4128333,-115.232,3.69
2017-04-30 01:29:19.710,37.8251667,-121.806,3.78
2017-04-30 10:12:16.340,38.7883333,-122.7771667,3.98
2017-05-15 18:43:08.110,34.2271667,-116.743,3.58
2017-05-17 04:42:25.330,34.4191667,-120.0021667,4.06
